tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,clean_text
RT @mention VERY IMPORTANT: Make sure you are donating to the JAPANESE Red Cross for #japan: {link} #sxswcares #sxsw #quake,,No emotion toward brand or product,very important: make sure you are donating to the japanese red cross for #japan: #sxswcares #sxsw #quake
Coolest iPad case ever!  It's an etch-a-sketch #sxsw  {link} via @mention,Other Apple product or service,Positive emotion,coolest ipad case ever! it's an etch-a-sketch #sxsw via
"Mobile updates RT @mention Hoot! New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product,"mobile updates rt hoot! new blog post: hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android"
Thinking is still good though :) RT @mention &quot;Google before you tweet is the new think before you speak&quot; -- Belinsky #sxsw /via @mention,,No emotion toward brand or product,thinking is still good though :) rt &quot;google before you tweet is the new think before you speak&quot; -- belinsky #sxsw /via
Hanging with @mention checking out her awesome new iPhone app Ask Around #SXSW (@mention Six Lounge w/ 10 others) {link},iPad or iPhone App,Positive emotion,hanging with checking out her awesome new iphone app ask around #sxsw ( six lounge w/ 10 others)
Cc @mention RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},,No emotion toward brand or product,cc rt new #ubersocial for #iphone now in the app store includes uberguide to #sxsw (cont)
If you thought people spent a lot of time staring at their iPhone last year at #sxsw ...just wait.,,No emotion toward brand or product,if you thought people spent a lot of time staring at their iphone last year at #sxsw ...just wait.
@mention here's your personal guide to austin for #sxsw {link},,No emotion toward brand or product,here's your personal guide to austin for #sxsw
"RT @mention Kicking it 80's style at the @mention party with @mention and @mention #SXSW
 {link} {link}",,No emotion toward brand or product,kicking it 80's style at the party with and #sxsw
#sxsw tip of the day (again ;-). turn your iphone screen brightness down. way down. #conservebatterylife #peace @mention,,No emotion toward brand or product,#sxsw tip of the day (again ;-). turn your iphone screen brightness down. way down. #conservebatterylife #peace
"Had to navigate for the cabbie with Google Maps. Natives: 0, Geeks: 1. #SXSW",,No emotion toward brand or product,"had to navigate for the cabbie with google maps. natives: 0, geeks: 1. #sxsw"
IPhone is dead. Find me on the secret batphone #sxsw.,iPhone,Negative emotion,iphone is dead. find me on the secret batphone #sxsw.
"&quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}  #sxsw Googlebook or Twitgle?&quot;",,No emotion toward brand or product,"&quot; google to launch major new social network called circles, possibly today #sxsw googlebook or twitgle?&quot;"
Dude interviewing a donkey about an iPhone app. #hpsxsw #SXSW  {link},,No emotion toward brand or product,dude interviewing a donkey about an iphone app. #hpsxsw #sxsw
the 35 #socialmedia and #music stories you may have missed this weekend {link} via @mention #sxsw #ipad2 #iphone,,No emotion toward brand or product,the 35 #socialmedia and #music stories you may have missed this weekend via #sxsw #ipad2 #iphone
Should I even bother buying a month's worth of 3G for my iPad for my #sxsw trip?  Everywhere I'll be will probably have free WiFi.,,No emotion toward brand or product,should i even bother buying a month's worth of 3g for my ipad for my #sxsw trip? everywhere i'll be will probably have free wifi.
